siparis_tarihi,teslim_suresi,teslim_tarihi,irsaliye_tarihi
2023-11-07,,,
2023-11-07,,,
2023-11-28,,,
2023-11-28,,,
2023-11-28,,,
2023-11-28,,,
2023-01-16,65 GÜN,2023-02-06,
2023-01-18,66 GÜN,2023-01-31,
2023-03-28,65 GÜN,2023-06-01,
2023-03-28,65 GÜN,2023-06-01,
2023-05-02,60 GÜN,2023-07-01,
2023-05-08,65 GÜN,2023-07-12,
2023-03-31,70 GÜN,2023-06-04,
2023-02-16,70 GÜN,2023-02-28,
2023-03-31,70 GÜN,2023-06-04,
2023-03-31,70 GÜN,2023-06-04,
2023-04-26,70 GÜN,2023-04-26,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-02,70 GÜN,2023-07-11,
2023-05-08,65 GÜN,2023-07-12,
2023-05-08,65 GÜN,2023-07-12,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-06-16,70 GÜN,2023-08-25,
2023-07-04,70 GÜN,2023-07-12,
2023-07-04,70 GÜN,2023-07-12,
2023-07-18,70 GÜN,2023-08-17,
2023-07-19,70 GÜN,2023-08-17,
2023-10-10,70 GÜN,2023-12-19,
2023-08-31,71 GÜN,2023-09-04,
2023-06-13,30 GÜN,2023-07-13,
2023-06-13,30 GÜN,2023-07-13,
2023-10-09,60 GÜN,2023-12-08,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-09-15,,2023-09-20,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-10-10,70 GÜN,2023-12-19,
2023-11-15,60 GÜN,2024-01-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-12-06,70 GÜN,2024-02-14,
2023-11-06,60 GÜN,2024-01-05,
2024-02-20,60 GÜN,,
2024-01-19,60 GÜN,,
2024-09-02,60 GÜN,2024-07-13,
2024-01-25,60 GÜN,,
2024-01-25,60 GÜN,,
2024-01-25,60 GÜN,,
2024-02-14,60 GÜN,,
2024-02-14,60 GÜN,,
2024-02-14,60 GÜN,,
2024-02-14,60 GÜN,,
2024-02-14,60 GÜN,,
2024-02-14,60 GÜN,,
2024-02-20,60 GÜN,2024-04-20,
2022-12-07,60 GÜN,2024-05-10,
2024-08-16,60 GÜN,2024-08-17,
2024-05-02,60 GÜN,,
2024-04-19,60 GÜN,2024-06-18,
2024-03-11,60 GÜN,2024-05-10,
2023-11-28,60 GÜN,2024-05-10,
2023-11-28,60 GÜN,2024-05-10,
2023-11-28,60 GÜN,2024-05-10,
2024-05-02,60 GÜN,,
2024-05-02,60 GÜN,,
2024-05-02,60 GÜN,,
2024-05-02,60 GÜN,,
2024-05-02,60 GÜN,,
2024-05-02,60 GÜN,,
2024-05-02,60 GÜN,,
2024-07-30,60 GÜN,2024-08-05,
2024-08-09,60 GÜN,2024-08-10,
2024-07-30,60 GÜN,2024-08-05,
2024-09-06,60 GÜN,2024-11-05,
2024-09-19,60 GÜN,2024-09-25,
2024-09-17,60 GÜN,,
2018-01-04,30,,
2017-12-28,100 GÜN,2018-06-22,
2017-12-25,20,,
2018-01-22,20,,
2018-01-29,20,,
2018-01-05,20,,
2018-02-06,20,,
2018-01-05,20,2018-06-22,
2018-01-29,20,,
2018-01-05,20,,
2018-02-12,20,2018-04-19,
2018-02-22,20,,
2018-02-27,20,,
2018-02-27,20,,
2018-03-01,50 GÜN,,
2018-03-03,55 GÜN,,
2018-03-09,50 GÜN,,
2018-03-12,1900-01-30 00:00:00,2018-04-06,
2018-03-14,55 GÜN,2018-04-25,
2018-03-14,55 GÜN,,
2018-03-22,30 GÜN,2018-08-05,
2018-04-11,DERHAL,2018-04-27,
2018-04-03,2018-05-27 00:00:00,,
2018-04-03,2018-05-27 00:00:00,,
2018-04-20,2018-05-09 00:00:00,2018-05-07,
2018-04-27,2018-06-15 00:00:00,2018-05-07,
2018-05-03,55 GÜN,2018-06-26,
2018-05-03,55 GÜN,2018-06-22,
2018-05-04,56 GÜN,2018-04-21,
2018-05-04,50 GÜN,2018-09-13,
2018-05-08,50 GÜN,,
2018-05-08,50 GÜN,,
2018-05-08,150 GÜN,,
2018-05-09,50 GÜN,2018-08-05,
2018-04-27,51 GÜN,2018-08-11,
2018-05-16,52 GÜN,2018-08-11,
2018-05-26,53 GÜN,,
2018-06-12,54 GÜN,,
2018-06-12,50,2018-06-26,
2018-06-12,55 GÜN,,
2018-06-18,35,,
2018-06-18,35,,
2018-06-18,35,2018-07-25,
2018-06-18,35,,
2018-06-18,35,,
2018-06-18,35,2018-06-22,
2018-06-18,35,2018-06-27,
2018-06-18,55 GÜN,2018-05-31,
2018-06-18,55 GÜN,2018-06-22,
2018-06-18,55 GÜN,2018-06-28,
2018-06-18,55 GÜN,2018-07-17,
2018-06-21,35,2018-07-17,
2018-06-21,35,2018-07-17,
2018-06-28,50 GÜN,2018-07-18,
2018-06-29,20 GÜN,2018-07-18,
2018-06-30,20 GÜN,2018-07-18,
2018-07-06,50 GÜN,2018-08-11,
2018-07-10,35,2018-08-11,
2018-07-10,35,2018-08-11,
2018-07-13,35,2018-07-01,
2018-07-23,55 GÜN,2018-07-01,
2018-07-23,55 GÜN,2018-08-16,
2018-07-24,55 GÜN,2018-07-18,
2018-07-24,55 GÜN,2018-07-18,
2018-07-25,DERHAL,,
2018-09-13,20 GÜN,2018-08-24,
2018-08-15,50 GÜN,2018-07-18,
2018-08-17,30 GÜN,2018-07-18,
2018-08-27,30 GÜN,2018-08-02,
2018-08-29,60 GÜN,2018-09-15,
2018-08-29,60 GÜN,2018-09-15,
2018-09-03,55 GÜN,2018-09-16,
2018-07-25,55 GÜN,2018-09-16,
2018-09-19,35,2018-08-13,
